libgcc1 1:8.3.0-6ubuntu1~18.04.1
libgck-1-0 3.28.0-1
libgconf-2-4 3.2.6-4ubuntu1
libgcr-base-3-1 3.28.0-1
libgcr-ui-3-1 3.28.0-1
libgcrypt20 1.8.1-4ubuntu1.1
libgd3 2.2.5-4ubuntu0.3
libgdata-common 0.17.9-2
libgdata22 0.17.9-2
libgdbm-compat4 1.14.1-6
libgdbm5 1.14.1-6
libgdk-pixbuf2.0-0 2.36.11-2
libgdk-pixbuf2.0-common 2.36.11-2
libgee-0.8-2 0.20.1-1
libgeoip1 1.6.12-1
libgettextpo0 0.19.8.1-6ubuntu0.3
libgif7 5.1.4-2ubuntu0.1
libgirepository-1.0-1 1.56.1-1
libgl1 1.0.0-2ubuntu2.3
libgl1-mesa-dri 19.0.8-0ubuntu0~18.04.1
libgl1-mesa-glx 19.0.8-0ubuntu0~18.04.1
libglapi-mesa 19.0.8-0ubuntu0~18.04.1
libgles2 1.0.0-2ubuntu2.3
libglib-object-introspection-perl 0.044-2
libglib-perl 3:1.326-1build1
libglib2.0-0 2.56.4-0ubuntu0.18.04.4
libglib2.0-bin 2.56.4-0ubuntu0.18.04.4
libglib2.0-data 2.56.4-0ubuntu0.18.04.4
libglibmm-2.4-1v5 2.56.0-1
libglvnd0 1.0.0-2ubuntu2.3
libglx-mesa0 19.0.8-0ubuntu0~18.04.1
libglx0 1.0.0-2ubuntu2.3
libgme0 0.6.2-1
libgmp-dev 2:6.1.2+dfsg-2
libgmp10 2:6.1.2+dfsg-2
libgmpxx4ldbl 2:6.1.2+dfsg-2
libgnome-desktop-3-17 3.28.2-0ubuntu1.5
libgnutls30 3.5.18-1ubuntu1.1
libgoa-1.0-0b 3.28.0-0ubuntu2.1
libgoa-1.0-common 3.28.0-0ubuntu2.1
libgoffice-0.10-10 0.10.39-1
libgoffice-0.10-10-common 0.10.39-1
libgomp1 8.3.0-6ubuntu1~18.04.1
libgpg-error0 1.27-6
libgpgme11 1.10.0-1ubuntu2
libgpgmepp6 1.10.0-1ubuntu2
libgphoto2-6 2.5.16-2
libgphoto2-port12 2.5.16-2
libgpm2 1.20.7-5
libgraphicsmagick-q16-3 1.3.28-2
libgraphite2-3 1.3.11-2
libgroupsock8 2018.02.18-1
libgs9 9.26~dfsg+0-0ubuntu0.18.04.11
libgs9-common 9.26~dfsg+0-0ubuntu0.18.04.11
libgsf-1-114 1.14.41-2
libgsf-1-common 1.14.41-2
libgsl23 2.4+dfsg-6
libgslcblas0 2.4+dfsg-6
libgsm1 1.0.13-4build1
libgsoap-2.8.60 2.8.60-2build1
libgspell-1-1 1.6.1-1
libgspell-1-common 1.6.1-1
libgssapi-krb5-2 1.16-2ubuntu0.1
libgssapi3-heimdal 7.5.0+dfsg-1
libgssdp-1.0-3 1.0.2-2
libgstreamer-gl1.0-0 1.14.5-0ubuntu1~18.04.1
libgstreamer-plugins-bad1.0-0 1.14.5-0ubuntu1~18.04.1
libgstreamer-plugins-base1.0-0 1.14.5-0ubuntu1~18.04.1
libgstreamer-plugins-good1.0-0 1.14.5-0ubuntu1~18.04.1
libgstreamer1.0-0 1.14.5-0ubuntu1~18.04.1
libgtk-3-0 3.22.30-1ubuntu4
libgtk-3-common 3.22.30-1ubuntu4
libgtk2-perl 2:1.24992-1build1
libgtk2.0-0 2.24.32-1ubuntu1
libgtk2.0-common 2.24.32-1ubuntu1
libgtk3-perl 0.032-1
libgtkmm-2.4-1v5 1:2.24.5-2
libgtkmm-3.0-1v5 3.22.2-2
libgtksourceview-3.0-1 3.24.7-1
libgtksourceview-3.0-common 3.24.7-1
libgtkspell0 2.0.16-1.2
libgucharmap-2-90-7 1:10.0.4-1
libgudev-1.0-0 1:232-2
libguestfs-tools 1:1.36.13-1ubuntu3.3
libgupnp-1.0-4 1.0.2-2
libgupnp-igd-1.0-4 0.2.5-1
libgusb2 0.2.11-1
libguvcview-2.0-2 2.0.5+debian-1
libgxps2 0.3.0-2
libharfbuzz-icu0 1.7.2-1ubuntu1
libharfbuzz0b 1.7.2-1ubuntu1
libhcrypto4-heimdal 7.5.0+dfsg-1
libheimbase1-heimdal 7.5.0+dfsg-1
libheimntlm0-heimdal 7.5.0+dfsg-1
libhfstospell9 0.4.5~r343-2.1build2
libhogweed4 3.4-1
libhpmud0 3.17.10+repack0-5
libhtml-parser-perl 3.72-3build1
libhtml-tagset-perl 3.20-3
libhtml-tree-perl 5.07-1
libhttp-cookies-perl 6.04-1
libhttp-date-perl 6.02-1
libhttp-message-perl 6.14-1
libhttp-negotiate-perl 6.00-2
libhunspell-1.6-0 1.6.2-1
libhx509-5-heimdal 7.5.0+dfsg-1
libhyphen0 2.8.8-5
libical3 3.0.1-5
libice-dev 2:1.0.9-2
libice6 2:1.0.9-2
libicu60 60.2-3ubuntu3
libid3tag0 0.15.1b-13
libidn11 1.33-2.1ubuntu1.2
libidn2-0 2.0.4-1.1build2
libido-0.1-0 12.10.0.1-0ubuntu2
libiec61883-0 1.2.0-2
libieee1284-3 0.2.11-13
libijs-0.35 0.35-13
libilmbase12 2.2.0-11ubuntu2
libimlib2 1.4.10-1
libimobiledevice6 1.2.1~git20171128.5a854327+dfsg-0.1
libindicator3-7 16.10.0+18.04.20180321.1-0ubuntu1
libindicator7 16.10.0+18.04.20180321.1-0ubuntu1
libinput-bin 1.10.4-1ubuntu0.18.04.1
libinput10 1.10.4-1ubuntu0.18.04.1
libio-html-perl 1.001-1
libio-pty-perl 1:1.08-1.1build4
libio-socket-inet6-perl 2.72-2
libio-socket-ssl-perl 2.060-3~ubuntu18.04.1
libio-string-perl 1.08-3
libip4tc0 1.6.1-2ubuntu2
libip6tc0 1.6.1-2ubuntu2
libipc-run-perl 0.96-1
libipc-system-simple-perl 1.25-4
libiptc0 1.6.1-2ubuntu2
libirs160 1:9.11.3+dfsg-1ubuntu1.9
libisc-export169 1:9.11.3+dfsg-1ubuntu1.9
libisc169 1:9.11.3+dfsg-1ubuntu1.9
libisccc160 1:9.11.3+dfsg-1ubuntu1.9
libisccfg160 1:9.11.3+dfsg-1ubuntu1.9
libisl19 0.19-1
libiso9660-10 1.0.0-2ubuntu2
libisofs6 1.4.8-1
libitm1 8.3.0-6ubuntu1~18.04.1
libiw30 30~pre9-12ubuntu1
libjack-jackd2-0 1.9.12~dfsg-2
libjansson-dev 2.11-1
libjansson4 2.11-1
libjavascriptcoregtk-4.0-18 2.24.2-0ubuntu0.18.04.1
libjbig0 2.1-3.1build1
libjbig2dec0 0.13-6
libjpeg-turbo8 1.5.2-0ubuntu5.18.04.1
libjpeg8 8c-2ubuntu8
libjs-jquery 3.2.1-1
libjs-sphinxdoc 1.6.7-1ubuntu1
libjs-underscore 1.8.3~dfsg-1
libjson-c3 0.12.1-1.3
libjson-glib-1.0-0 1.4.2-3
libjson-glib-1.0-common 1.4.2-3
libjte1 1.20-2ubuntu2
libk5crypto3 1.16-2ubuntu0.1
libkate1 0.4.1-7build1
libkeybinder0 0.3.1-1
libkeyutils1 1.5.9-9.2ubuntu2
libkf5archive5 5.44.0-0ubuntu1
libkf5attica5 5.44.0-0ubuntu1
libkf5auth-data 5.44.0-0ubuntu1
libkf5auth5 5.44.0-0ubuntu1
libkf5codecs-data 5.44.0-0ubuntu1
libkf5codecs5 5.44.0-0ubuntu1
libkf5completion-data 5.44.0-0ubuntu1
libkf5completion5 5.44.0-0ubuntu1
libkf5config-bin 5.44.0-0ubuntu1.1
libkf5config-data 5.44.0-0ubuntu1.1
libkf5configcore5 5.44.0-0ubuntu1.1
libkf5configgui5 5.44.0-0ubuntu1.1
libkf5configwidgets-data 5.44.0-0ubuntu1
libkf5configwidgets5 5.44.0-0ubuntu1
libkf5coreaddons-data 5.44.0a-0ubuntu1
libkf5coreaddons5 5.44.0a-0ubuntu1
libkf5crash5 5.44.0-0ubuntu1
libkf5dbusaddons-bin 5.44.0-0ubuntu1
libkf5dbusaddons-data 5.44.0-0ubuntu1
libkf5dbusaddons5 5.44.0-0ubuntu1
libkf5doctools5 5.44.0-0ubuntu1
libkf5globalaccel-bin 5.44.0-0ubuntu1
libkf5globalaccel-data 5.44.0-0ubuntu1
libkf5globalaccel5 5.44.0-0ubuntu1
libkf5globalaccelprivate5 5.44.0-0ubuntu1
libkf5guiaddons5 5.44.0-0ubuntu1
libkf5i18n-data 5.44.0-0ubuntu1
libkf5i18n5 5.44.0-0ubuntu1
libkf5iconthemes-bin 5.44.0-0ubuntu1
libkf5iconthemes-data 5.44.0-0ubuntu1
libkf5iconthemes5 5.44.0-0ubuntu1
libkf5idletime5 5.44.0-0ubuntu1
libkf5itemviews-data 5.44.0-0ubuntu1
libkf5itemviews5 5.44.0-0ubuntu1
libkf5jobwidgets-data 5.44.0-0ubuntu1
libkf5jobwidgets5 5.44.0-0ubuntu1
libkf5kiocore5 5.44.0-0ubuntu1
libkf5kiontlm5 5.44.0-0ubuntu1
libkf5kiowidgets5 5.44.0-0ubuntu1
libkf5notifications-data 5.44.0-0ubuntu1
libkf5notifications5 5.44.0-0ubuntu1
libkf5pty-data 5.44.0-0ubuntu1
libkf5pty5 5.44.0-0ubuntu1
libkf5service-bin 5.44.0-0ubuntu1
libkf5service-data 5.44.0-0ubuntu1
libkf5service5 5.44.0-0ubuntu1
libkf5solid5 5.44.0-0ubuntu1
libkf5solid5-data 5.44.0-0ubuntu1
libkf5sonnet5-data 5.44.0-0ubuntu1
libkf5sonnetcore5 5.44.0-0ubuntu1
libkf5sonnetui5 5.44.0-0ubuntu1
libkf5su-bin 5.44.0-0ubuntu1
libkf5su-data 5.44.0-0ubuntu1
libkf5su5 5.44.0-0ubuntu1
libkf5textwidgets-data 5.44.0-0ubuntu1
libkf5textwidgets5 5.44.0-0ubuntu1
libkf5wallet-bin 5.44.0-0ubuntu1
libkf5wallet-data 5.44.0-0ubuntu1
libkf5wallet5 5.44.0-0ubuntu1
libkf5waylandclient5 4:5.44.0-0ubuntu1
libkf5widgetsaddons-data 5.44.0-0ubuntu1
libkf5widgetsaddons5 5.44.0-0ubuntu1
libkf5windowsystem-data 5.44.0-0ubuntu1
libkf5windowsystem5 5.44.0-0ubuntu1
libkf5xmlgui-bin 5.44.0-0ubuntu2
libkf5xmlgui-data 5.44.0-0ubuntu2
libkf5xmlgui5 5.44.0-0ubuntu2
libklibc 2.0.4-9ubuntu2
libkmod2 24-1ubuntu3.2
libkpathsea6 2017.20170613.44572-8ubuntu0.1
libkrb5-26-heimdal 7.5.0+dfsg-1
libkrb5-3 1.16-2ubuntu0.1
libkrb5support0 1.16-2ubuntu0.1
libksba8 1.3.5-2
libkwalletbackend5-5 5.44.0-0ubuntu1
liblcms2-2 2.9-1ubuntu0.1
liblcms2-utils 2.9-1ubuntu0.1
libldap-2.4-2 2.4.45+dfsg-1ubuntu1.4
libldap-common 2.4.45+dfsg-1ubuntu1.4
libldb1 2:1.2.3-1ubuntu0.1
liblightdm-gobject-1-0 1.26.0-0ubuntu1
liblilv-0-0 0.24.2~dfsg0-1
liblinear3 2.1.0+dfsg-2
liblirc-client0 0.10.0-2
liblist-moreutils-perl 0.416-1build3
liblivemedia62 2018.02.18-1
libllvm6.0 1:6.0-1ubuntu2
libllvm8 1:8-3~ubuntu18.04.1
liblocale-gettext-perl 1.07-3build2
libloudmouth1-0 1.5.3-3
liblsan0 8.3.0-6ubuntu1~18.04.1
libltdl-dev 2.4.6-2
libltdl7 2.4.6-2
liblua5.2-0 5.2.4-1.1build1
liblua5.3-0 5.3.3-1ubuntu0.18.04.1
liblwp-mediatypes-perl 6.02-1
liblwp-protocol-https-perl 6.07-2
liblwres160 1:9.11.3+dfsg-1ubuntu1.9
liblz4-1 0.0~r131-2ubuntu3
liblzma5 5.2.2-1.3
liblzo2-2 2.08-1.2
libmad0 0.15.1b-9ubuntu18.04.1
libmagic-mgc 1:5.32-2ubuntu0.2
libmagic1 1:5.32-2ubuntu0.2
libmail-sendmail-perl 0.80-1
libmailtools-perl 2.18-1
libmatroska6v5 1.4.8-1.1
libmbim-glib4 1.18.0-1~ubuntu18.04.1
libmbim-proxy 1.18.0-1~ubuntu18.04.1
libmeanwhile1 1.0.2-9
libmenu-cache-bin 1.1.0-1
libmenu-cache3 1.1.0-1
libmessaging-menu0 13.10.1+17.04.20170120-0ubuntu2
libmhash2 0.9.9.9-7
libmicrodns0 0.0.8-1
libminiupnpc10 1.9.20140610-4ubuntu2
libmjpegutils-2.1-0 1:2.1.0+debian-5
libmm-glib0 1.10.0-1~ubuntu18.04.2
libmms0 0.6.4-2
libmng2 2.0.2-0ubuntu3
libmnl0 1.0.4-2
libmodplug1 1:0.8.9.0-1
libmount1 2.31.1-0.4ubuntu3.3
libmp3lame0 3.100-2
libmpc3 1.1.0-1
libmpcdec6 2:0.1~r495-1
libmpdec2 2.4.2-1ubuntu1
libmpeg2-4 0.5.1-8
libmpeg2encpp-2.1-0 1:2.1.0+debian-5
libmpfr6 4.0.1-1
libmpg123-0 1.25.10-1
libmplex2-2.1-0 1:2.1.0+debian-5
libmpx2 8.3.0-6ubuntu1~18.04.1
libmtdev1 1.1.5-1ubuntu3
libmtp-common 1.1.13-1
libmtp-runtime 1.1.13-1
libmtp9 1.1.13-1
libmysofa0 0.6~dfsg0-2ubuntu0.18.04.1
libnatpmp1 20150609-2
libnautilus-extension1a 1:3.26.4-0~ubuntu18.04.4
libncurses5 6.1-1ubuntu1.18.04
libncurses5-dev 6.1-1ubuntu1.18.04
libncursesw5 6.1-1ubuntu1.18.04
libndp0 1.6-1
libneon27-gnutls 0.30.2-3~ubuntu18.04.1
libnet-dbus-perl 1.1.0-4build2
libnet-dns-perl 1.10-2
libnet-domain-tld-perl 1.75-1
libnet-http-perl 6.17-1
libnet-ip-perl 1.26-1
libnet-smtp-ssl-perl 1.04-1
libnet-ssleay-perl 1.84-1ubuntu0.2
libnetfilter-conntrack3 1.0.6-2
libnettle6 3.4-1
libnewt0.52 0.52.20-1ubuntu1
libnfnetlink0 1.0.1-3
libnfs11 2.0.0-1~exp1
libnfsidmap2 0.25-5.1
libnghttp2-14 1.30.0-1ubuntu1
libnice10 0.1.14-1
libnih1 1.0.3-6ubuntu2
libnl-3-200 3.2.29-0ubuntu3
libnl-genl-3-200 3.2.29-0ubuntu3
libnm0 1.10.14-0ubuntu2
libnma0 1.8.10-2ubuntu2
libnorm1 1.5r6+dfsg1-6
libnotify4 0.7.7-3
libnpth0 1.5-3
libnspr4 2:4.18-1ubuntu1
libnss-mdns 0.10-8ubuntu1
libnss-systemd 237-3ubuntu10.25
libnss3 2:3.35-2ubuntu2.3
libntfs-3g88 1:2017.3.23-2ubuntu0.18.04.2
libnuma1 2.0.11-2.1ubuntu0.1
liboauth0 1.0.3-1
libobrender32v5 3.6.1-7ubuntu0.1
libobt2v5 3.6.1-7ubuntu0.1
libofa0 0.9.3-15
libogg0 1.3.2-1
liboobs-1-5 3.0.0-3
libopenal-data 1:1.18.2-2
libopenal1 1:1.18.2-2
libopenexr22 2.2.0-11.1ubuntu1
libopenjp2-7 2.3.0-2build0.18.04.1
libopenmpt-modplug1 0.3.6-1
libopenmpt0 0.3.6-1
libopus0 1.1.2-1ubuntu1
liborc-0.4-0 1:0.4.28-1
libots0 0.5.0-2.3
libp11-kit0 0.23.9-2
libpackagekit-glib2-18 1.1.9-1ubuntu2.18.04.5
libpam-cap 1:2.25-1.2
libpam-modules 1.1.8-3.6ubuntu2.18.04.1
libpam-modules-bin 1.1.8-3.6ubuntu2.18.04.1
libpam-runtime 1.1.8-3.6ubuntu2.18.04.1
libpam-systemd 237-3ubuntu10.25
libpam0g 1.1.8-3.6ubuntu2.18.04.1
libpango-1.0-0 1.40.14-1ubuntu0.1
libpango-perl 1.227-2build1
libpangocairo-1.0-0 1.40.14-1ubuntu0.1
libpangoft2-1.0-0 1.40.14-1ubuntu0.1
libpangomm-1.4-1v5 2.40.1-4
libpangox-1.0-0 0.0.2-5
libpangoxft-1.0-0 1.40.14-1ubuntu0.1
libpaper1 1.1.24+nmu5ubuntu1
libparse-debianchangelog-perl 1.2.0-12
libparted-fs-resize0 3.2-20ubuntu0.2
libparted2 3.2-20ubuntu0.2
libpcap0.8 1.8.1-6ubuntu1
libpci3 1:3.5.2-1ubuntu1.1
libpciaccess0 0.14-1
libpcre3 2:8.39-9
libpcsclite1 1.8.23-1
libpeas-1.0-0 1.22.0-2
libpeas-common 1.22.0-2
libperl5.26 5.26.1-6ubuntu0.3
libperlio-gzip-perl 0.19-1build3
libpgm-5.2-0 5.2.122~dfsg-2
libphonenumber7 7.1.0-5ubuntu5
libphonon4qt5-4 4:4.10.0-2
libpipeline1 1.5.0-1
libpisock9 0.12.5-dfsg-2build2
libpixman-1-0 0.34.0-2
libplacebo4 0.4.0-2
libplist3 2.0.0-2ubuntu1
libplymouth4 0.9.3-1ubuntu7.18.04.2
libpng12-0 1.2.54-1ubuntu1.1
libpng16-16 1.6.34-1ubuntu0.18.04.2
libpolkit-agent-1-0 0.105-20ubuntu0.18.04.5
libpolkit-backend-1-0 0.105-20ubuntu0.18.04.5
libpolkit-gobject-1-0 0.105-20ubuntu0.18.04.5
libpolkit-qt5-1-1 0.112.0-5
libpoppler-glib8 0.62.0-2ubuntu2.10
libpoppler73 0.62.0-2ubuntu2.10
libpopt0 1.16-11
libportaudio2 19.6.0-1
libpostproc54 7:3.4.6-0ubuntu0.18.04.1
libpq5 11.5-1.pgdg18.04+1
libpresage-data 0.9.1-2.1ubuntu4
libpresage1v5 0.9.1-2.1ubuntu4
libprocps6 2:3.3.12-3ubuntu1.2
libprotobuf-c1 1.2.1-2
libprotobuf-lite10 3.0.0-9.1ubuntu1
libprotobuf10 3.0.0-9.1ubuntu1
libproxy-tools 0.4.15-1
libproxy1v5 0.4.15-1
libpsl5 0.19.1-5build1
libpthread-stubs0-dev 0.3-4
libpulse-mainloop-glib0 1:11.1-1ubuntu7.2
libpulse0 1:11.1-1ubuntu7.2
libpulsedsp 1:11.1-1ubuntu7.2
libpwquality-common 1.4.0-2
libpwquality1 1.4.0-2
libpython-stdlib 2.7.15~rc1-1
libpython2.7 2.7.15-4ubuntu4~18.04
libpython2.7-minimal 2.7.15-4ubuntu4~18.04
libpython2.7-stdlib 2.7.15-4ubuntu4~18.04
libpython3-dev 3.6.7-1~18.04
libpython3-stdlib 3.6.7-1~18.04
libpython3.6 3.6.8-1~18.04.1
libpython3.6-dev 3.6.8-1~18.04.1
libpython3.6-minimal 3.6.8-1~18.04.1
libpython3.6-stdlib 3.6.8-1~18.04.1
libqmi-glib5 1.22.0-1.2~ubuntu18.04.1
libqmi-proxy 1.22.0-1.2~ubuntu18.04.1
libqpdf21 8.0.2-3
libqt5core5a 5.9.5+dfsg-0ubuntu2.3
libqt5dbus5 5.9.5+dfsg-0ubuntu2.3
libqt5gui5 5.9.5+dfsg-0ubuntu2.3
libqt5network5 5.9.5+dfsg-0ubuntu2.3
libqt5opengl5 5.9.5+dfsg-0ubuntu2.3
libqt5printsupport5 5.9.5+dfsg-0ubuntu2.3
libqt5qml5 5.9.5-0ubuntu1.1
libqt5quick5 5.9.5-0ubuntu1.1
libqt5script5 5.9.5+dfsg-0ubuntu1
libqt5svg5 5.9.5-0ubuntu1
libqt5texttospeech5 5.9.5-0ubuntu1
libqt5waylandclient5 5.9.5-0ubuntu1
libqt5waylandcompositor5 5.9.5-0ubuntu1
libqt5widgets5 5.9.5+dfsg-0ubuntu2.3
libqt5x11extras5 5.9.5-0ubuntu1
libqt5xml5 5.9.5+dfsg-0ubuntu2.3
libquadmath0 8.3.0-6ubuntu1~18.04.1
libraptor2-0 2.0.14-1build1
librasqal3 0.9.32-1build1
libraw1394-11 2.1.2-1
librdf0 1.0.17-1.1
libreadline5 5.2+dfsg-3build1
libreadline7 7.0-3
libresid-builder0c2a 2.1.1-15ubuntu1
librest-0.7-0 0.8.0-2
librevenge-0.0-0 0.0.4-6ubuntu2
libroken18-heimdal 7.5.0+dfsg-1
librsvg2-2 2.40.20-2
librsvg2-common 2.40.20-2
librtmp1 2.4+20151223.gitfa8646d.1-1
librubberband2 1.8.1-7ubuntu2
libruby2.5 2.5.1-1ubuntu1.5
libsamplerate0 0.1.9-1
libsane-common 1.0.27-1~experimental3ubuntu2.1
libsane-hpaio 3.17.10+repack0-5
libsane1 1.0.27-1~experimental3ubuntu2.1
libsasl2-2 2.1.27~101-g0780600+dfsg-3ubuntu2
libsasl2-modules 2.1.27~101-g0780600+dfsg-3ubuntu2
libsasl2-modules-db 2.1.27~101-g0780600+dfsg-3ubuntu2
libsbc1 1.3-2
libsdl-image1.2 1.2.12-8
libsdl1.2debian 1.2.15+dfsg2-0.1
libsdl2-2.0-0 2.0.8+dfsg1-1ubuntu1.18.04.3
libseccomp2 2.4.1-0ubuntu0.18.04.2
libsecret-1-0 0.18.6-1
libsecret-common 0.18.6-1
libselinux1 2.7-2build2
libsemanage-common 2.7-2build2
libsemanage1 2.7-2build2
libsensors4 1:3.4.0-4
libsepol1 2.7-1
libserd-0-0 0.28.0~dfsg0-1
libshine3 3.1.1-1
libshout3 2.4.1-2build1
libsidplay2 2.1.1-15ubuntu1
libsidplayfp4 1.8.7-1
libsigc++-2.0-0v5 2.10.0-2
libsigsegv2 2.12-1
libslang2 2.3.1a-3ubuntu1
libsm-dev 2:1.2.2-1
libsm6 2:1.2.2-1
libsmartcols1 2.31.1-0.4ubuntu3.3
libsmbclient 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
libsmbios-c2 2.4.1-1
libsnapd-glib1 1.49-0ubuntu0.18.04.0
libsnappy1v5 1.1.7-1
libsndfile1 1.0.28-4ubuntu0.18.04.1
libsndio6.1 1.1.0-3
libsnmp-base 5.7.3+dfsg-1.8ubuntu3.1
libsnmp30 5.7.3+dfsg-1.8ubuntu3.1
libsocket6-perl 0.27-1build2
libsodium23 1.0.16-2
libsord-0-0 0.16.0~dfsg0-1
libsoundtouch1 1.9.2-3
libsoup-gnome2.4-1 2.62.1-1ubuntu0.1
libsoup2.4-1 2.62.1-1ubuntu0.1
libsoxr0 0.1.2-3
libspandsp2 0.0.6+dfsg-0.1
libspectre1 0.2.8-1
libspeex1 1.2~rc1.2-1ubuntu2
libspeexdsp1 1.2~rc1.2-1ubuntu2
libsqlite3-0 3.22.0-1ubuntu0.1
libsratom-0-0 0.6.0~dfsg0-1
libsrtp2-1 2.1.0-1
libss2 1.44.1-1ubuntu1.1
libssh-gcrypt-4 0.8.0~20170825.94fa1e38-1ubuntu0.2
libssh2-1 1.8.0-1
libssl-dev 1.1.1-1ubuntu2.1~18.04.4
libssl1.0.0 1.0.2n-1ubuntu5.3
libssl1.1 1.1.1-1ubuntu2.1~18.04.4
libstartup-notification0 0.12-5
libstdc++-7-dev 7.4.0-1ubuntu1~18.04.1
libstdc++6 8.3.0-6ubuntu1~18.04.1
libstemmer0d 0+svn585-1build1
libsub-name-perl 0.21-1build1
libswresample2 7:3.4.6-0ubuntu0.18.04.1
libswscale4 7:3.4.6-0ubuntu0.18.04.1
libsys-hostname-long-perl 1.5-1
libsystemd0 237-3ubuntu10.25
libtag1v5 1.11.1+dfsg.1-0.2build2
libtag1v5-vanilla 1.11.1+dfsg.1-0.2build2
libtalloc2 2.1.10-2ubuntu1
libtasn1-6 4.13-2
libtcl8.6 8.6.8+dfsg-3
libtdb1 1.3.15-2
libteamdctl0 1.26-1
libtelepathy-glib0 0.24.1-2
libtevent0 0.9.34-1
libtext-charwidth-perl 0.04-7.1
libtext-iconv-perl 1.7-5build6
libtext-levenshtein-perl 0.13-1
libtext-wrapi18n-perl 0.06-7.1
libthai-data 0.1.27-2
libthai0 0.1.27-2
libtheora0 1.1.1+dfsg.1-14
libtidy5 1:5.2.0-2
libtiff5 4.0.9-5ubuntu0.2
libtimedate-perl 2.3000-2
libtinfo-dev 6.1-1ubuntu1.18.04
libtinfo5 6.1-1ubuntu1.18.04
libtinyxml2.6.2v5 2.6.2-4
libtirpc1 0.2.5-1.2ubuntu0.1
libtk8.6 8.6.8-4
libtool 2.4.6-2
libtry-tiny-perl 0.30-1
libtsan0 8.3.0-6ubuntu1~18.04.1
libtwolame0 0.3.13-3
libu2f-udev 1.1.4-1ubuntu0.1
libubsan0 7.4.0-1ubuntu1~18.04.1
libuchardet0 0.0.6-2
libudev-dev 237-3ubuntu10.25
libudev1 237-3ubuntu10.25
libudisks2-0 2.7.6-3ubuntu0.2
libuniconf4.6 4.6.1-11
libunique-1.0-0 1.1.6-6
libunistring2 0.9.9-0ubuntu2
libunity-protocol-private0 7.1.4+18.04.20180209.1-0ubuntu2
libunity-scopes-json-def-desktop 7.1.4+18.04.20180209.1-0ubuntu2
libunity9 7.1.4+18.04.20180209.1-0ubuntu2
libunwind8 1.2.1-8
libupnp6 1:1.6.24-4
libupower-glib3 0.99.7-2ubuntu0.18.04.1
liburi-perl 1.73-1
liburl-dispatcher1 0.1+17.04.20170328-0ubuntu4
libusageenvironment3 2018.02.18-1
libusb-0.1-4 2:0.1.12-31
libusb-1.0-0 2:1.0.21-2
libusbmuxd4 1.1.0~git20171206.c724e70f-0.1
libutempter0 1.1.6-3
libuuid1 2.31.1-0.4ubuntu3.3
libv4l-0 1.14.2-1
libv4lconvert0 1.14.2-1
libva-drm2 2.1.0-3
libva-wayland2 2.1.0-3
libva-x11-2 2.1.0-3
libva2 2.1.0-3
libvcdinfo0 0.7.24+dfsg-1
libvdpau1 1.1.1-3ubuntu1
libvisual-0.4-0 0.4.0-11
libvlc-bin 3.0.7.1-0ubuntu18.04.1
libvlc5 3.0.7.1-0ubuntu18.04.1
libvlccore9 3.0.7.1-0ubuntu18.04.1
libvncserver1 0.9.11+dfsg-1ubuntu1.1
libvo-aacenc0 0.1.3-1
libvo-amrwbenc0 0.1.3-1
libvoikko1 4.1.1-1.1
libvorbis0a 1.3.5-4.2
libvorbisenc2 1.3.5-4.2
libvorbisfile3 1.3.5-4.2
libvorbisidec1 1.0.2+svn18153-1+deb9u1build0.18.04.1
libvpx5 1.7.0-3
libvte-2.91-0 0.52.2-1ubuntu1~18.04.2
libvte-2.91-common 0.52.2-1ubuntu1~18.04.2
libvulkan1 1.1.70+dfsg1-1ubuntu0.18.04.1
libwacom-common 0.29-1
libwacom2 0.29-1
libwavpack1 5.1.0-2ubuntu1.4
libwayland-client0 1.16.0-1ubuntu1.1~18.04.1
libwayland-cursor0 1.16.0-1ubuntu1.1~18.04.1
libwayland-egl1 1.16.0-1ubuntu1.1~18.04.1
libwayland-egl1-mesa 19.0.8-0ubuntu0~18.04.1
libwayland-server0 1.16.0-1ubuntu1.1~18.04.1
libwbclient0 2:4.7.6+dfsg~ubuntu-0ubuntu2.11
libwebkit2gtk-4.0-37 2.24.2-0ubuntu0.18.04.1
libwebp6 0.6.1-2
libwebpdemux2 0.6.1-2
libwebpmux3 0.6.1-2
libwebrtc-audio-processing1 0.3-1
libwhoopsie0 0.2.62ubuntu0.1
libwildmidi-config 0.4.2-1
libwildmidi2 0.4.2-1
libwind0-heimdal 7.5.0+dfsg-1
libwmf0.2-7 0.2.8.4-12
libwnck-3-0 3.24.1-2
libwnck-3-common 3.24.1-2
libwnck-common 1:2.30.7-5.1ubuntu1
libwnck22 1:2.30.7-5.1ubuntu1
libwoff1 1.0.2-1build0.1
libwpd-0.10-10 0.10.2-2
libwpg-0.3-3 0.3.1-3
libwrap0 7.6.q-27
libwv-1.2-4 1.2.9-4.2build1
libwvstreams4.6-base 4.6.1-11
libwvstreams4.6-extras 4.6.1-11
libwww-perl 6.31-1ubuntu0.1
libwww-robotrules-perl 6.01-1
libx11-6 2:1.6.4-3ubuntu0.2
libx11-data 2:1.6.4-3ubuntu0.2
libx11-dev 2:1.6.4-3ubuntu0.2
libx11-doc 2:1.6.4-3ubuntu0.2
